card_name,set_name,type,is_kingdom_card,cost,card_text,potion,card_text_es
Chancellor,Dominion,Action,1,$3,+$2\nYou may immediately put your deck into your discard pile.,0,Debes resolver el Canciller (y decidir si descartas o no todo tu Mazo) antes de hacer nada más en tu Turno (como decidir lo que vas a comprar o jugar otra Carta de Acción). Tampoco podrás mirar el Mazo cuando lo descartes
Chapel,Dominion,Action,1,$2,Trash up to 4 cards from your hand.,0,"No puedes eliminar la Carta de Capilla, puesto que no se encuentra en tu mano cuando resuelves la Acción. Sí podrías eliminar otra Carta de Capilla que pudieras tener en tu mano"
Council Room,Dominion,Action,1,$5,+4 Cards\n+1 Buy\nEach other player draws a card.,0,"Los demás jugadores tienen que robar 1 Carta de su Mazo, quieran o no. Si fuera necesario, tendrán que barajar su Pila de Descartes para formar un nuevo Mazo"
Feast,Dominion,Action,1,$4,Trash this card. Gain a card costing up to $5.,0,"La Carta ganada va a tu Pila de Descartes y debe ser una Carta del Suministro. No puedes util izar monedas de Tesoros o Acciones previas (como el Mercado) para incrementar el coste de la Carta que ganas. Si usas el Salón del Trono con un Banquete, ganarás 2 Cartas, aunque solamente eliminarás una Carta de Banquete"
Festival,Dominion,Action,1,$5,+2 Actions\n+1 Buy\n+$2.,0,"Si estás jugando varias Cartas de Festival, lleva bien la cuenta de las Acciones que te faltan. Suele funcionar muy bien ir diciendo en voz alta las Acciones restantes. Por ejemplo: “estoy jugando un Festival y me quedan 2 Acciones. Ahora juego un Mercado y me quedan 2 Acciones. Juego otro Festival y me quedan 3 Acciones…”"
Gardens,Dominion,Victory,1,$4,Worth 1VP for every 10 cards in your deck (rounded down).,0,"Esta Carta de Reino es una Carta de Victoria, y no de Acción. No sirve para nada hasta el final de la partida, donde concederá 1 Punto de Victoria por cada 10 Cartas que haya en tu Mazo (contando todas tus Cartas y redondeando hacia abajo)."
Laboratory,Dominion,Action,1,$5,+2 Cards\n+1 Action.,0,Robas 2 Cartas de tu Mazo. Y puedes jugar otra Carta de Acción durante tu Fase de Acción
Library,Dominion,Action,1,$5,"Draw until you have 7 cards in hand. You may set aside any Action cards drawn this way, as you draw them; discard the set aside cards after you finish drawing.",0,"Si tienes que barajar en medio de la Acción, hazlo, pero sin barajar las Cartas que hayas apartado, puesto que estas Cartas no irán a la Pila de Descartes hasta que hayas terminado de robar Cartas. Si se terminan las Cartas después de barajar, sólo conseguirás las Cartas disponibles."
Market,Dominion,Action,1,$5,+1 Card\n+1 Action\n+1 Buy\n+$1.,0,"Robas 1 Carta. Puedes jugar otra Carta de Acción durante tu Fase de Acción. En tu Fase de Compra, puedes comprar una Carta adicional del Suministro, añadiendo 1 moneda al valor total de las Cartas de Tesoro que juegues"
Militia,Dominion,Action-Attack,1,$4,+$2\nEach other player discards down to 3 cards in his hand.,0,Los jugadores atacados deben descartarse de Cartas de su mano hasta quedarse únicamente con 3 Cartas. Los jugadores que tengan 3 Cartas o menos en su mano al ponerse en juego la Milicia no tendrán que descartarse de ninguna
Mine,Dominion,Action,1,$5,Trash a Treasure card from your hand. Gain a Treasure card costing up to $3 more; put it into your hand.,0,"Generalmente, eliminarás una Carta de Cobre para ganar una de Plata, o eliminarás una de Plata para ganar una de Oro. Aunque también podrías eliminar un Tesoro para ganar el mismo Tesoro o uno de menor valor. La Carta ganada va a tu mano, con lo que podrás gastarla en el mismo Turno."
Moat,Dominion,Action-Reaction,1,$2,"+2 Cards\dWhen another player plays an Attack card, you may reveal this from your hand. If you do, you are unaffected by that Attack.",0,"Una Carta de Ataque es la que pone “Acción - Ataque” en la línea inferior. Cuando alguien juegue una, puedes enseñar una Carta de Foso que tengas en la mano (y devolverla a tu mano) para que el Ataque no te afecte: no recibes Maldición de una Bruja, no tienes que revelar una Carta a un Espía, etc."
Moneylender,Dominion,Action,1,$4,"Trash a Copper from your hand. If you do, +$3.",0,"Si no tienes en tu mano una Carta de Cobre para eliminar, tampoco consigues las 3 monedas para gastar en tu Fase de Compra"
Remodel,Dominion,Action,1,$4,Trash a card from your hand. Gain a card costing up to $2 more than the trashed card.,0,"No puedes eliminar la Carta Remodelar, puesto que no se encuentra en tu mano cuando resuelves la Acción, aunque sí podrías eliminar otra Carta Remodelar que tuvieras en la mano. Si no puedes eliminar una Carta, tampoco ganas la Carta que te concede."
Smithy,Dominion,Action,1,$4,+3 Cards,0,Robas 3 Cartas de tu Mazo
Spy,Dominion,Action-Attack,1,$4,"+1 Card\n+1 Action\nEach player (including you) reveals the top card of his deck and either discards it or puts it back, your choice.",0,"El Espía hace que todos los jugadores (hasta el que juega la Carta) revelen la Carta superior de su Mazo. Pero antes de hacerlo, debes robar la Carta que te otorga el Espía. Los jugadores que no tengan Cartas en su Mazo tendrán que barajar su Pila de Descartes para tener alguna Carta que revelar."
Thief,Dominion,Action-Attack,1,$4,"Each other player reveals the top 2 cards of his deck. If they revealed any Treasure cards, they trash one of them that you choose. You may gain any or all of these trashed cards. They discard the other revealed cards.",0,"Un jugador que sólo tenga una Carta en su Mazo,  revela esa carta, baraja la Pila de Descartes (sin incluir la Carta revelada) para formar un nuevo Mazo, y revela la otra Carta. Si no tuviera Cartas suficientes después de barajar, sólo tendrá que revelar una Carta."
Throne Room,Dominion,Action,1,$4,Choose an Action card in your hand. Play it twice.,0,"Escoges una Carta de Acción de tu mano, la juegas, y la vuelves a jugar. El segundo uso de la Carta de Acción no consume ninguna Acción extra que pudieras tener. Debes resolver completamente la Acción la primera vez antes de hacerlo la segunda."
Village,Dominion,Action,1,$3,+1 Card\n+2 Actions,0,"Si pones en juego varias Aldeas, lleva bien la cuenta de las Acciones que te quedan por realizar. Un truco que suele funcionar consiste en decir en voz alta las Acciones que aún te faltan"
Witch,Dominion,Action-Attack,1,$5,+2 Cards\nEach other player gains a Curse card.,0,"Si no hubiera suficientes Maldiciones para repartir a los jugadores, repartes las que haya empezado por el jugador siguiente a ti. Si no queda ninguna Maldición cuando juegas la Bruja, todavía puedes robar las 2 Cartas. El jugador que recibe una Maldición debe colocar la Carta en su Pila de Descartes"
Woodcutter,Dominion,Action,1,$3,+1 Buy\n+$2,0,"Durante tu Fase de Compra, añades 2 monedas al valor total de las Cartas de Tesoro que juegues y, además, podrás comprar una Carta más del Suministro"
Workshop,Dominion,Action,1,$3,Gain a card costing up to $4.,0,La Carta que ganas se pone en tu Pila de Descartes. Tiene que ser una Carta del Suministro. No puedes utilizar monedas procedentes de Cartas de Tesoro o de Acciones previas para incrementar el coste de la Carta ganada
Baron,Intrigue,Action,1,$4,"+1 Buy\nYou may discard an Estate card. If you do, +$4.\nOtherwise, gain an Estate card.",0,
Bridge,Intrigue,Action,1,$4,"+1 Buy\n+$1\nAll cards (including cards in players' hands) cost $1 less this turn, but not less than $0.",0,"A todos los efectos, los costes se reducen en 1 Moneda. Por ejemplo, si has jugado una Aldea, luego un Puente y por último un Taller, podr ías utilizar el Taller para ganar una Carta de Ducado (porque ahora los Ducados cuestan 4 Monedas gracias al Puente) ."
Conspirator,Intrigue,Action,1,$4,+$2\nIf you've played 3 or more Actions this turn (counting this): +1 Card; +1 Action.,0,"Tendrás que determinar si el Conspirador te otorga +1 Carta y +1 Acci ón en el momento de ponerlo en juego, porque las Cartas de Acción que se jueguen después ya no se tienen en cuenta para beneficiarte de la Carta."
Coppersmith,Intrigue,Action,1,$4,Copper produces an extra $1 this turn.,0,"Lo único que hace es cambiar la cantidad de Monedas que consigues al poner en juego Cartas de Cobre. El efecto es acumulativo, es decir, si usas un Salón del Trono con un Artesano del Cobre, conseguirás 3 Monedas por cada Carta de Cobre que juegues"
Courtyard,Intrigue,Action,1,$2,+3 Cards\nPut a card from your hand on top of your deck.,0,"Puedes robar Cartas y añadirlas a tu mano antes de poner una Carta sobre tu mazo. La Carta que pongas en el mazo puede ser cualquiera de tu mano, incluyendo las 3 nuevas Cartas que acabas de coger. PEÓN Primero, escoge dos opciones distintas de las cuatro posibles. No puedes elegir la misma opción dos veces."
Duke,Intrigue,Victory,1,$5,Worth 1VP per Duchy you have.,0,"Esta Carta no hace nada hasta el final de la partida. En ese momento, te da 1 Punto de Victoria por cada Carta de Ducado que tengas, contando todas tus Cartas. En la Preparación del juego, se colocan 12 Cartas de Duque en el Suministro para una partida de 3 a 6 jugadores, y sólo 8 Cartas en el Suministro en caso de 2 jugadores"
Great Hall,Intrigue,Action-Victory,1,$3,+1 Card\n+1 Action\dWorth 1VP,0,"Es a la vez una Carta de Acci ón y una Carta de Vi ctoria. Al jugarla, robas una Carta y puedes jugar otra Acción. Y, al final de la partida, también consigues 1 Punto de Victoria, igual que una Finca más."
Harem,Intrigue,Treasure-Victory,1,$6,Worth $2\nWorth 2VP,0,
Ironworks,Intrigue,Action,1,$4,"Gain a card costing up to $4. If it is an...\nAction card, +1 Action\nTreasure card, +$1\nVictory card, +1 Card",0,
Masquerade,Intrigue,Action,1,$3,+2 Cards\nEach player passes a card in their hand to the player on their left. Then you may trash a card from your hand.,0,"Primero, roba 2 Cartas. Despu és, cada jugador (todos a la vez) escoge una Carta de su mano y la coloca boca abajo sobre la mesa, entre él y el jugador a su izquierda. El jugador de su izquierda recoge la Carta y la pone en su mano."
Mining Village,Intrigue,Action,1,$4,"+1 Card\n+2 Actions\nYou may trash this card immediately. If you do, +$2.",0,"Debes decidir si eliminas o no la Aldea Minera, antes de proseguir con otras Acciones o Fases. En cualquier caso, consigues +1 Carta y +2 Acciones, pero si eliminas la Aldea Minera, también consigues 2 Monedas adicionales."
Minion,Intrigue,Action-Attack,1,$5,"+1 Action\nChoose one: +$2; or discard your hand, +4 Cards, and each other player with at least 5 cards in hand discards his hand and draws 4 cards.",0,"Independientemente de la opci ón que elijas, siempre g anas +1 Acci ón. Las opciones son “+2 Monedas”, o bien todo lo demás: descartas, robas 4 Cartas y los demás jugadores descartan y roban. Un jugador que usa un Foso para parar el Ataque, ni descarta ni roba Cartas. Los demás jugadores sólo se ven afectados si tienen 5 ó más Cartas en su mano."
Nobles,Intrigue,Action-Victory,1,$6,Choose one: +3 Cards; or +2 Actions.\dWorth 2VP,0,"Es a la vez una Carta de Acci ón y una Carta de Victoria. Al jugarla, eliges robar 3 Cartas o conseguir +2 Acciones, una de las dos cosas. Y, al final de la partida, te da 2 Puntos de Victoria. Durante la Preparación del juego, hay que colocar 12 Cartas de Nobles en el Suministro para una partida de 3 a 6 jugadores, y s ólo 8 Cartas de Nobles en un"
Pawn,Intrigue,Action,1,$2,Choose two: +1 Card; +1 Action; +1 Buy; +$1.\n(The choices must be different.),0,
Saboteur,Intrigue,Action-Attack,1,$5,Each other player reveals cards from the top of his deck until revealing one costing $3 or more. He trashes that card and may gain a card costing at most $2 less than it. He discards the other revealed cards.,0,"Los dem ás jugadores deben empezar a revelar Cartas de su mazo, hasta que aparezca una con un coste de 3 Monedas ó más. Si un jugador necesita barajar su Pila de Descartes para seguir sacando Cartas, no debe barajar las Cartas ya reveladas."
Scout,Intrigue,Action,1,$4,+1 Action\nReveal the top 4 cards of your deck. Put the revealed Victory cards into your hand. Put the other cards on top of your deck in any order.,0,"No es obligatorio que reveles la Provincia si tienes una. Si la revelas, ganas 1 Oro, y si no, ganas 1 Plata. La Carta ganada procede del Suministro y se coloca directamente en tu mano, con lo que puedes gastarla en el mismo Turno. F"
Secret Chamber,Intrigue,Action-Reaction,1,$2,"Discard any number of cards. +$1 per card discarded.\dWhen another player plays an Attack card, you may reveal this from your hand. If you do, +2 cards, then put 2 cards from your hand on top of your deck.",0,
Shanty Town,Intrigue,Action,1,$3,"+2 Actions\nReveal your hand.\nIf you have no Action cards in hand, +2 Cards.",0,"Independientemente de lo que pase, siempre  consigues +2 Acciones. Debes revelar tu mano, y, si no tienes ninguna Carta de Acci ón, robar 2 Cartas. Aunque la primera Carta robada sea una Carta de Acción, debes robar la segunda Carta. Y recuerda que las Cartas de Acción – Victoria son Acciones"
Steward,Intrigue,Action,1,$3,Choose one: +2 Cards; or +$2; or trash 2 cards from your hand.,0,"Tienes que elegir una de las opciones, sin mezclarl as: +2 Cartas, o +2 Monedas, o bien eliminar 2 Cartas. Si eliges “eliminar 2 Cartas” y, después de jugar el Mayordomo, sólo te queda una Carta en tu mano, sólo tendrás que eliminar esa única Carta"
Swindler,Intrigue,Action-Attack,1,$3,+$2\nEach other player trashes the top card of his deck and gains a card with the same cost that you choose.,0,"Si a un jugador no le quedan  Cartas en su mazo, tendr á que barajar su Pila de Descartes antes de eliminar la Carta; si aún así, no tuviera Cartas disponibles, no eliminará ninguna Carta, pero tampoco ganar á una Carta nueva."
Torturer,Intrigue,Action-Attack,1,$5,"+3 Cards\nEach other player chooses one: he discards 2 cards; or he gains a Curse card, putting it in his hand.",0,"Cada uno de los demás jugadores tendrá que decidir el castigo a sufrir. Un jugador puede optar por ganar una Maldici ón, incluso si ya no quedan Maldiciones en el Suministro, en cuyo caso no ganaría ninguna."
Trading Post,Intrigue,Action,1,$5,"Trash 2 cards from your hand. If you do, gain a silver card; put it into your hand.",0,"Si tienes 2 ó más Cartas, puedes eliminar exactamente 2 Cartas para ganar una Carta de Plata, que va directamente a tu mano y que podrá ser utilizada en ese mismo Turno. Si ya no quedaran Cartas de P lata en el Suministro, no ganar ás la Carta, aunque s í podrás eliminar las 2 Cartas."
Tribute,Intrigue,Action,1,$5,"The player to your left reveals then discards the top 2 cards of his deck. For each differently named card revealed, if it is an...\nAction Card, +2 Actions\nTreasure Card, +$2\nVictory Card, +2 Cards",0,"Si al jugador de tu izquierda le quedan menos de 2 Cartas en su mazo, revela las Cartas que pueda, baraja su Pila de Descartes (sin incluir las Cartas reveladas) y revela las Cartas que le falten, antes de descartar las Cartas reveladas. Si dicho jugador no tuviera suficientes Cartas, sólo revelará y descartará las que pueda."
Upgrade,Intrigue,Action,1,$5,+1 Card\n+1 Action\nTrash a card from your hand. Gain a card costing exactly $1 more than it.,0,"Primero, roba una Carta. A continuaci ón, elimina una Carta de tu mano y gana otra Carta que cueste exactamente 1 Moneda más que la eliminada. La Carta ganada debe ser una Carta del Suministro, y va a tu Pila de Descartes. Si no quedara disponible ninguna Carta de ese coste, no consigues ninguna (aunque sigues teniendo que eliminar una Carta)."
Wishing Well,Intrigue,Action,1,$3,"+1 Card\n+1 Action\nName a card, then reveal the top card of your deck. If it is the named card, put it in your hand.",0,"Primero, roba una Carta. A continuaci ón, di en voz alta el nombre de una Carta (por ejemplo, “Cobre”, no vale decir “Tesoro”) y revela la Carta superior de tu mazo: si se trata de la misma Carta que has nombrado, la pones en tu mano; si no, vuelves a poner la Carta revelada encima de tu mazo"
Ambassador,Seaside,Action-Attack,1,$3,Reveal a card from your hand. Return up to 2 copies of it from your hand to the Supply.\nThen each other player gains a copy of it.,0,"Lo primero, elegir y revelar una Carta de tu mano. Puedes devolver hasta 2 copias de esa Carta de tu mano al Suministro, aunque puedes decidir no devolver ninguna. Después, todos los jugadores (menos tú) ganan una copia de dicha Carta del Suministro."
Bazaar,Seaside,Action,1,$5,+1 Card\n+2 Actions\n+$1.,0,"Robas 1 Carta, consigues +2 Acciones para usar y +1 Moneda adicional para gastar en este Turno"
Caravan,Seaside,Action-Duration,1,$4,"+1 Card\n+1 Action\nAt the start of your next turn, +1 Card.",0,Te permite robar una Carta al comienzo de tu próximo Turno (no antes); la Carta de Caravana se descartará en la Fase de Mantenimiento de tu siguiente Turno
Cutpurse,Seaside,Action-Attack,1,$4,+$2\nEach other player discards a Copper card (or reveals a hand with no Copper).,0,"Los demás jugadores deben descartar 1 Carta de Cobre. Si no tuvieran ningún Cobre, tendrán que revelar su mano para que todos los jugadores puedan comprobarlo. RESCATADOR: si tienes al menos una Carta en tu mano, tendrás que eliminar una Carta."
Embargo,Seaside,Action,1,$2,"+$2\nTrash this card. Put an Embargo token on top of a Supply pile.\dWhen a player buys a card, he gains a Curse card per Embargo token on that pile.",0,"Puedes elegir  cualquier mazo del Suministro. Si se utilizan varias Cartas de Embargo para poner Marcadores de Embargo en el mismo mazo, un jugador ganará una Carta de Maldición por cada Marcador de Embargo cuando compre una Carta de dicho montón del Suministro."
Explorer,Seaside,Action,1,$5,"You may reveal a Province card from your hand. If you do, gain a Gold card, putting it into your hand. Otherwise, gain a Silver card, putting it into your hand.",0,"Si en tu mazo quedan menos de 4 Cartas, revela todas las  que puedas, baraja tu Pila de Descartes (sin incluir las Cartas reci én reveladas) y revela las Cartas que falten. No olvides que las Cartas de Acci ón – Victoria son Cartas de Victoria, pero las Maldiciones no."
Fishing Village,Seaside,Action-Duration,1,$3,+2 Actions\n+$1\nAt the start of your next turn: +1 Action; +$1.,0,"Consigues +2 Acciones para usar y +1 Moneda para gastar en este Turno . Y al comienzo de tu siguiente Turno, +1 Acción y +1 Moneda adicionales. Esto quiere decir que en tu siguiente Turno dispondrás de 2 Acciones en total (contando la normal). Debes dejar la Carta frente a ti hasta la Fase de Mantenimiento de tu siguiente Turno"
Ghost Ship,Seaside,Action-Attack,1,$5,+2 Cards\nEach other player with 4 or more cards in hand puts cards from his hand on top of his deck until he has 3 cards in his hand.,0,"Los demás jugadores eligen las Cartas que ponen en sus mazos y en qué orden. El Barco Fantasma no le afecta a un jugador que sólo tenga 3 Cartas en la mano. Si a un jugador no le queda ninguna carta en su mazo, no tiene que barajar su Pila de Descartes: las Cartas que devuelva al mazo serán las únicas Cartas que formen éste"
Haven,Seaside,Action-Duration,1,$2,"+1 Card\n+1 Action\nSet aside a card from your hand face down. At the start of your next turn, put it into your hand.",0,"Primero, roba 1 Carta; después, elige una Carta de tu mano para apartarla, boca abajo. Colócala sobre la Carta de Puerto, para recordar a qué se debe. Los  demás jugadores no pueden ver la Carta que has apartado. Tienes que apartar una Carta, no es algo opcional."
Island,Seaside,Action-Victory,1,$4,Set aside this and another card from your hand. Return them to your deck at the end of the game.\dWorth 2VP,0,"La primera vez que juegues una Isla tendrás que coger un Tablero de Jugador de Isla. La Isla es a la vez una Carta de Acción y una Carta de Victoria. En una partida de 3- 4 jugadores deben usarse 12 Islas; en una partida de 2 jugadores, sólo 8 Islas."
Lighthouse,Seaside,Action-Duration,1,$2,"+1 Action\nNow and at the start of your next turn: +$1.\dWhile this is in play, when another player plays an Attack card, it doesn't affect you.",0,"Consigues +1 Acción y +1 Moneda en este Turno, pero sólo +1 Moneda en tu siguiente Turno. Las Cartas de Ataque jug adas por los demás jugadores no te afectan (aunque quieras). Cuando alguien juegue un Ataque, podrías revelar una Cámara Secreta para poder robar 2 Cartas y poner 2 Cartas de tu mano encima de tu mazo y seguirías sin sufrir la Carta de"
Lookout,Seaside,Action,1,$3,+1 Action\nLook at the top 3 cards of your deck. Trash one of them. Discard one of them. Put the other one on top of your deck.,0,"Si no quedan en tu mazo 3 Cartas para poder mirar, mira las que puedas, baraja tu Pila de Descartes y mira las Cartas que te faltaban del nuevo mazo. Debes mirar las 3 Cartas antes de decidir qué Carta eliminas, qué Carta descartas y qué Carta devuelves a la parte superior del mazo."
Merchant Ship,Seaside,Action-Duration,1,$5,Now and at the start of your next turn: +$2.,0,Consigues +2 Monedas para gastar en este Turno y +2 Monedas más para tu siguiente Turno. La Carta del Barco Mercante debe dejarse en tu área de juego hasta la Fase de Mantenimiento de tu siguiente Turno
Native Village,Seaside,Action,1,$2,+2 Actions\nChoose one: Set aside the top card of your deck face down on your Native Village mat; or put all the cards from your mat into your hand.\nYou may look at the cards on your mat at any time; return them to your deck at the end of the game.,0,"La primera vez que pongas en juego esta Carta, tendrás que coger un Tablero de Jugador de Poblado Indígena para poner Cartas encima. Cuando juegues un Poblado Indígena puedes elegir entre coger todas las Cartas que estuvieran apartadas en tu Tablero de Jugador de Poblado Indígena y ponerlas en tu mano, o apartar boca abajo la primera Carta de tu ma"
Navigator,Seaside,Action,1,$4,"+$2\nLook at the top 5 cards of your deck. Either discard all of them, or put them back on top of your deck in any order.",0,"Tienes que descartar las 5 Cartas o ninguna. Si no las descartas, debes ponerlas sobre tu mazo en el orden que quieras. Si no quedaran 5 Cartas en tu mazo, mira las que puedas, baraja tu Pila de Descartes (sin incluir las Cartas que ya has mirado) para formar un nuevo mazo y mira las Cartas que faltaban."
Outpost,Seaside,Action-Duration,1,$5,You only draw 3 cards (instead of 5) in this turn's Clean-up phase. Take an extra turn after this one. This can't cause you to take more than two consecutive turns.,0,"El Turno Extra es completamente normal, salvo que sólo dispones de 3 Cartas en la mano. Debes dejar la Carta de Puesto Avanzado frente a ti hasta el final de ese Turno. Si además del Puesto Avanzado juegas una Carta de “ahora y al comienzo de tu próximo turno”, como un Barco Mercante, el Turno Extra del Puesto Avanzado será ese siguiente Turno, así"
Pearl Diver,Seaside,Action,1,$2,+1 Card\n+1 Action\nLook at the bottom card of your deck. You may put it on top.,0,"Debes robar la Carta antes de mirar la última Carta de tu mazo. Si decides colocar la Carta encima de tu mazo, ten cuidado para no mirar la siguiente Carta del fondo del mazo al mover la Carta. Si no quedaran Cartas en tu mazo a la hora de mirar la Carta del fondo, tendrás que barajar tu Pila de Descartes primero"
Pirate Ship,Seaside,Action-Attack,1,$4,"Choose one: Each other player reveals the top 2 cards of his deck, trashes a revealed Treasure that you choose, discards the rest, and if anyone trashed a Treasure you take a Coin token; or, +$1 per Coin token you've taken with Pirate Ships this game.",0,"Cuando pongas en juego esta Carta por primera vez, coge un Tablero de Jugador de Barco Pirata. Si utilizas el Barco Pirata para eliminar Tesoros, un jugador que sólo tenga una Carta la revela, baraja su Pila de Descartes y  revela la segunda Carta (si no tuviera ninguna Carta, debe barajar para revelar las 2 Cartas)."
Salvager,Seaside,Action,1,$4,+1 Buy\nTrash a card from your hand. +$ equal to its cost.,0,
Sea Hag,Seaside,Action-Attack,1,$4,"Each other player discards the top card of his deck, then gains a Curse card, putting it on top of his deck.",0,"Si a un jugador no le quedan Cartas en su mazo, tendrá que barajar primero su Pila de Descartes para poder descartar la Carta. Si sigue sin Cartas, no tendrá que descartar ninguna. Si un jugador descarta la última Carta de su mazo, la Maldición ganada se convertirá en la única Carta de su mazo."
Smugglers,Seaside,Action,1,$3,Gain a copy of a card costing up to $6 that the player to your right gained on his last turn.,0,"Esta Carta te permite fijarte en el último Turno jugado por el jugador de tu derecha: si ese jugador no ha ganado ninguna Carta o ninguna con un coste de 6 ó menos, los Contrabandistas no hacen nada. Pero si dicho jugador ha ganado varias Cartas con un coste de 6 ó menos, puedes elegir una de esas Cartas para ganar una copia de ella."
Tactician,Seaside,Action-Duration,1,$5,"Discard your hand. If you discarded any cards this way, then at the start of your next turn, +5 Cards; +1 Buy; and +1 Action.",0,Debes esperar hasta el comienzo de tu siguiente Turno para robar las 5 Cartas extra; no debes hacerlo al finalizar el Turno en que has puesto en juego la Carta. El Estratega debe p ermanecer frente a ti hasta la Fase de Mantenimiento de tu siguiente Turno.
Treasure Map,Seaside,Action,1,$4,"Trash this and another copy of Treasure Map from your hand. If you do trash two Treasure Maps, gain 4 Gold cards, putting them on top of your deck.",0,"Puedes jugar esta Carta sin tener otro Mapa del Tesoro en tu mano; si lo haces, eliminas la Carta y no ganas nada. Tienes que eliminar 2 Mapas del Tesoro para poder ganar 4 Oros; así, por ejemplo, si juegas un Salón del Trono con un Mapa del Tesoro, teniendo otros 2 Mapas del Tesoro en la mano, al resolver el primer Mapa del Tesoro, lo eliminas jun"
Treasury,Seaside,Action,1,$5,"+1 Card\n+1 Action\n+$1\dWhen you discard this from play, if you didn't buy a Victory card this turn, you may put this on top of your deck.",0,"Si compras varias Cartas y al menos una de ellas es una Carta de Victoria, no podrás poner tu Tesorería en cima de tu mazo. Si juegas varias Cartas de Tesorería y no has comprado ninguna Carta de Victoria, podrás poner algunas (o incluso todas) las Cartas de Tesorería encima de tu mazo."
Warehouse,Seaside,Action,1,$3,+3 Cards\n +1 Action\nDiscard 3 cards.,0,"Si no te quedan en el mazo 3 Cartas para robar, roba las que puedas, baraja tu Pila de Descartes y roba las Cartas que te falten. Si sigues sin poder robar 3 Cartas, roba las que puedas. En cualquier caso, tendrás que descartar 3 Cartas (siempre qu e puedas)."
Wharf,Seaside,Action-Duration,1,$5,Now and at the start of your next turn: +2 Cards\n+1 Buy.,0,"Robas 2 Cartas y consigues +1 Compra en este Turno, y +2 Cartas y +1 Compra al comienzo de tu siguiente Turno. Pero no debes robar las 2 Cartas del siguiente Turno hasta que éste comience. Debes dejar la Carta de Muelle frente a ti hasta la Fase de Mantenimiento de tu siguiente Turno. N"
Alchemist,Alchemy,Action,1,$3,"+2 Cards\n+1 Action\dWhen you discard this from play, you may put this on top of your deck if you have a Potion in play.",1,"+2 Cartas y +1 Acción. Cuando se descarte el Alquimista, si tenemos en juego alguna Poción, podemos colocar el Alquimista en la parte superior de nuestro mazo"
Apothecary,Alchemy,Action,1,$2,+1 Card\n+1 Action\nReveal the top 4 cards of your deck. Put the revealed Coppers and Potions into your hand. Put the other cards back on top in any order.,1,"+1 Carta y +1 Acción. Además, se revelan las 4 cartas superiores de nuestro mazo. Los Cobres y las Pociones reveladas van a nuestra mano, y el resto de cartas se devuelven al mazo en el orden que queramos"
Apprentice,Alchemy,Action,1,$5,+1 Action\nTrash a card from your hand. +1 Card per Coin it costs. +2 Cards if it has Þ in its cost.,0,"+1 Acción. Elimina una carta de tu mano. Otorga +1 carta por  cada Moneda que costase la carta eliminada, y +2 cartas si la carta eliminada incluye una Poción en su coste"
